fecha_hora,dia_semana,hora,segmento_id,segmento_nombre,latitud,longitud,longitud_m,tipo_via,velocidad_maxima_kmh,temperatura_c,lluvia_mm,llueve,velocidad_promedio_kmh,indice_congestion,categoria_flujo
2024-01-01 00:00:00,Lunes,0,SEG001,Av. O'Higgins con Av. Collín,-36.613056,-72.111597,1200,arterial,50,4.8,0.0,0,46.7,6.7,Fluido
2024-01-01 00:00:00,Lunes,0,SEG002,Av. O'Higgins con Av. Ecuador,-36.597912,-72.105803,1500,arterial,50,4.8,0.0,0,44.5,11.1,Fluido
2024-01-01 00:00:00,Lunes,0,SEG003,Av. Collín con Av. Argentina,-36.61713,-72.097092,2000,arterial,60,4.8,0.0,0,59.1,1.5,Fluido
2024-01-01 00:00:00,Lunes,0,SEG004,Av. Ecuador,-36.599991,-72.099999,1000,colectora,40,4.8,0.0,0,39.3,1.8,Fluido
2024-01-01 00:00:00,Lunes,0,SEG005,Av. Alonso de Ercilla,-36.625223,-72.084603,1800,arterial,50,4.8,0.0,0,49.2,1.6,Fluido
2024-01-01 00:00:00,Lunes,0,SEG006,Av. O'Higgins Chillán-Chillán Viejo,-36.620378,-72.121468,500,arterial,40,4.8,0.0,0,40.0,0.0,Fluido
2024-01-01 00:00:00,Lunes,0,SEG007,Av. Collín (Clínica),-36.614837,-72.106812,300,arterial,30,4.8,0.0,0,30.0,0.0,Fluido
2024-01-01 00:00:00,Lunes,0,SEG008,5 de Abril,-36.608176,-72.101319,800,colectora,30,4.8,0.0,0,26.8,10.7,Fluido
2024-01-01 00:00:00,Lunes,0,SEG009,Terminal de Buses María Teresa,-36.587964,-72.102649,600,colectora,30,4.8,0.0,0,27.0,9.9,Fluido
2024-01-01 00:00:00,Lunes,0,SEG010,Av. Libertad Oriente,-36.608632,-72.090847,700,colectora,40,4.8,0.0,0,40.0,0.0,Fluido
2024-01-01 00:00:00,Lunes,0,SEG011,Av. Andrés Bello,-36.592662,-72.070978,1200,arterial,50,4.8,0.0,0,48.8,2.4,Fluido
2024-01-01 01:00:00,Lunes,1,SEG001,Av. O'Higgins con Av. Collín,-36.613056,-72.111597,1200,arterial,50,7.9,0.0,0,48.2,3.6,Fluido
2024-01-01 01:00:00,Lunes,1,SEG002,Av. O'Higgins con Av. Ecuador,-36.597912,-72.105803,1500,arterial,50,7.9,0.0,0,47.3,5.4,Fluido
2024-01-01 01:00:00,Lunes,1,SEG003,Av. Collín con Av. Argentina,-36.61713,-72.097092,2000,arterial,60,7.9,0.0,0,60.0,0.0,Fluido
2024-01-01 01:00:00,Lunes,1,SEG004,Av. Ecuador,-36.599991,-72.099999,1000,colectora,40,7.9,0.0,0,39.3,1.7,Fluido
2024-01-01 01:00:00,Lunes,1,SEG005,Av. Alonso de Ercilla,-36.625223,-72.084603,1800,arterial,50,7.9,0.0,0,47.2,5.7,Fluido
2024-01-01 01:00:00,Lunes,1,SEG006,Av. O'Higgins Chillán-Chillán Viejo,-36.620378,-72.121468,500,arterial,40,7.9,0.0,0,40.0,0.0,Fluido
2024-01-01 01:00:00,Lunes,1,SEG007,Av. Collín (Clínica),-36.614837,-72.106812,300,arterial,30,7.9,0.0,0,27.8,7.3,Fluido
2024-01-01 01:00:00,Lunes,1,SEG008,5 de Abril,-36.608176,-72.101319,800,colectora,30,7.9,0.0,0,29.6,1.4,Fluido
2024-01-01 01:00:00,Lunes,1,SEG009,Terminal de Buses María Teresa,-36.587964,-72.102649,600,colectora,30,7.9,0.0,0,29.0,3.2,Fluido
2024-01-01 01:00:00,Lunes,1,SEG010,Av. Libertad Oriente,-36.608632,-72.090847,700,colectora,40,7.9,0.0,0,39.4,1.4,Fluido
2024-01-01 01:00:00,Lunes,1,SEG011,Av. Andrés Bello,-36.592662,-72.070978,1200,arterial,50,7.9,0.0,0,41.9,16.1,Fluido
2024-01-01 02:00:00,Lunes,2,SEG001,Av. O'Higgins con Av. Collín,-36.613056,-72.111597,1200,arterial,50,8.0,0.0,0,48.2,3.6,Fluido
2024-01-01 02:00:00,Lunes,2,SEG002,Av. O'Higgins con Av. Ecuador,-36.597912,-72.105803,1500,arterial,50,8.0,0.0,0,46.3,7.3,Fluido
2024-01-01 02:00:00,Lunes,2,SEG003,Av. Collín con Av. Argentina,-36.61713,-72.097092,2000,arterial,60,8.0,0.0,0,60.0,0.0,Fluido
2024-01-01 02:00:00,Lunes,2,SEG004,Av. Ecuador,-36.599991,-72.099999,1000,colectora,40,8.0,0.0,0,35.4,11.6,Fluido
2024-01-01 02:00:00,Lunes,2,SEG005,Av. Alonso de Ercilla,-36.625223,-72.084603,1800,arterial,50,8.0,0.0,0,39.2,21.7,Fluido
2024-01-01 02:00:00,Lunes,2,SEG006,Av. O'Higgins Chillán-Chillán Viejo,-36.620378,-72.121468,500,arterial,40,8.0,0.0,0,35.1,12.2,Fluido
2024-01-01 02:00:00,Lunes,2,SEG007,Av. Collín (Clínica),-36.614837,-72.106812,300,arterial,30,8.0,0.0,0,28.1,6.3,Fluido
2024-01-01 02:00:00,Lunes,2,SEG008,5 de Abril,-36.608176,-72.101319,800,colectora,30,8.0,0.0,0,26.9,10.3,Fluido
2024-01-01 02:00:00,Lunes,2,SEG009,Terminal de Buses María Teresa,-36.587964,-72.102649,600,colectora,30,8.0,0.0,0,30.0,0.0,Fluido
2024-01-01 02:00:00,Lunes,2,SEG010,Av. Libertad Oriente,-36.608632,-72.090847,700,colectora,40,8.0,0.0,0,40.0,0.0,Fluido
2024-01-01 02:00:00,Lunes,2,SEG011,Av. Andrés Bello,-36.592662,-72.070978,1200,arterial,50,8.0,0.0,0,45.2,9.6,Fluido
